Area;Generator;Type;Capacity;Zone;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ;EE;Electrical capacity;Fraction of category - for Poland coal and lignite is in the same category
DE4-S_A;GNR_CC_NGAS_BP_E-18;GBPR;0;2;2;1;1.2;0.33;0.7938;NATGAS;7.64658528;56.1;0.18;0;0
DE4-S_A;GNR_CC_NGAS_BP_E-53;GBPR;3951.878072;2;2;1;1.2;0.971666667;2.3373;NATGAS;7.64658528;56.1;0.53;2155.569858;0.108875789
DE4-S_A;GNR_ENG_BGAS_BP_E-45;GBPR;56.73723472;2;2;1;0.82;0.998780488;3.528;BIOGAS;12.71578864;0;0.45;25.56292993;0.00557101
DE4-S_A;GNR_ENG_NGAS_BP_E-46;GBPR;50.22930393;2;2;1;0.9;0.971111111;2.43432;NATGAS;7.64658528;56.1;0.46;23.79282818;0.001383837
DE4-S_A;GNR_GT_NGAS_BP_E-32;GBPR;121.400125;2;2;1;0.95;0.656842105;1.4112;NATGAS;7.64658528;56.1;0.32;59.14365062;0.003344621
DE4-S_A;GNR_GT_NGAS_BP_E-37;GBPR;69.50158887;2;2;1;0.95;0.759473684;1.6317;NATGAS;7.64658528;56.1;0.37;33.85974843;0.001914796
DE4-S_A;GNR_ST_BGAS_BP_E-38;GBPR;287.8823281;2;2;1;0.7;0.922857143;0.305368;BIOGAS;12.71578864;0;0.38;118.5397822;0.028267069
DE4-S_A;GNR_ST_COAL_BP_E-40;GBPR;0;2;2;1;0.75;0.933333333;0.784;COAL;2.572688462;94.6;0.4;0;0.008448115
DE4-S_A;GNR_ST_FUELOIL_BP_E-36;GBPR;592.5707318;2;2;1;0.7;0.874285714;0.289296;FUELOIL;8.763766511;74;0.36;243.9997131;0.11331207
DE4-S_A;GNR_ST_FUELOIL_BP_E-38;GBPR;0;2;2;1;0.7;0.922857143;0.305368;FUELOIL;8.763766511;74;0.38;0;0
DE4-S_A;GNR_ST_MSW_BP_E-33;GBPR;421;2;2;1;0.295760708;1.44576687;8.02032;MUNIWASTE;-3.259066353;35;0.33;0;0.220244806
DE4-S_A;GNR_ST_NGAS_BP_E-38;GBPR;1475.163453;2;2;1;0.7;0.922857143;0.305368;NATGAS;7.64658528;56.1;0.38;607.4202452;0.040641331
DE4-W_A;GNR_CC_COAL_BP_E-27;GBPR;0;2;3;1;1.2;0.861666667;3.472906404;COAL;2.572688462;94.6;0.47;0;0.004614355
DE4-W_A;GNR_CC_COAL_BP_E-46;GBPR;0;2;3;1;1.2;0.861666667;3.472906404;COAL;2.572688462;94.6;0.47;0;0.004664344
DE4-W_A;GNR_CC_FUELOIL_BP_E-38;GBPR;97.00602595;2;3;1;1.2;0.696666667;1.6758;FUELOIL;8.763766511;74;0.38;52.91237779;0.018549606
DE4-W_A;GNR_CC_NGAS_BP_E-39;GBPR;166.1664576;2;3;1;1.2;0.715;1.7199;NATGAS;7.64658528;56.1;0.39;90.63624958;0.004577951
DE4-W_A;GNR_CC_NGAS_BP_E-55;GBPR;7680.83514;2;3;1;1.2;1.008333333;2.4255;NATGAS;7.64658528;56.1;0.55;4189.54644;0.211610017
DE4-W_A;GNR_ENG_BGAS_BP_E-45;GBPR;8.913667351;2;3;1;0.82;0.998780488;3.528;BIOGAS;12.71578864;0;0.45;4.016047927;0.00087523
DE4-W_A;GNR_ENG_NGAS_BP_E-44;GBPR;0;2;3;1;0.9;0.928888889;2.32848;NATGAS;7.64658528;56.1;0.44;0;0
DE4-W_A;GNR_GT_NGAS_BP_E-31;GBPR;157.8201879;2;3;1;0.95;0.636315789;1.3671;NATGAS;7.64658528;56.1;0.31;76.88675819;0.004348008
DE4-W_A;GNR_GT_NGAS_BP_E-39;GBPR;193.0262208;2;3;1;0.95;0.800526316;1.7199;NATGAS;7.64658528;56.1;0.39;94.03841528;0.005317948
DE4-W_A;GNR_ST_BGAS_BP_E-38;GBPR;194.8037631;2;3;1;0.7;0.922857143;0.305368;BIOGAS;12.71578864;0;0.38;80.21331423;0.019127716
