Area;Generator;Type;Capacity;Zone;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ
BE_A;GNR_CC_NGAS_CND_E-56;GCND;4412;1;1;1;0;0.56;4.41;NATGAS;8.324130812;56.1
BE_A;GNR_PV_SUN;GSOLE;3425;1;1;0;0;1;0;SUN;0;0
BE_A;GNR_ROR_WTR;GHYRR;181;1;1;0;0;1;0;WATER;0;0
BE_A;GNR_ST_WOOD_CND_E-37;GCND;720;1;1;1;0;0.37;1.152;WOOD;8.34659919;0
BE_A;GNR_WT_WIND_ONS;GWND;1782;1;1;0;0;1;2.744;WIND;0;0
BE_Offshore;GNR_WT_WIND_OFF;GWND;2262;1;1;0;0;1;3.822;WIND;0;0
BE_A;GNR_ST_MSW_CND_E-20;GCND;368;1;1;1;0;0.2;24.26425408;MUNIWASTE;-3.259066353;35
DE4-S_A;GNR_CC_NGAS_CND_E-57;GCND;1501.6;2;2;1;0;0.57;4.41;NATGAS;8.324130812;56.1
DE4-S_A;GNR_ENG_BGAS_CND_E-42;GCND;1864.02;2;2;1;0;0.42;7.84;BIOGAS;12.71578864;0
DE4-S_A;GNR_GEO_HEAT_EO;GCND;39.26;2;2;1;0;1;0;WASTEHEAT;0.087544156;0
DE4-S_A;GNR_PV_SUN;GSOLE;19818.61;2;2;0;0;1;0;SUN;0;0
DE4-S_A;GNR_ROR_WTR;GHYRR;7927.13;2;2;0;0;1;0;WATER;0;0
DE4-S_A;GNR_ST_COAL_CND_E-45;GCND;283;2;2;1;0;0.45;1.96;COAL;2.672923077;94.6
DE4-S_A;GNR_ST_COAL_EXT_E-44;GEXT;3035.7;2;2;1;0.75;0.44;0.8624;COAL;2.672923077;94.6
DE4-S_A;GNR_ST_MSW_CND_E-33;GCND;8.7;2;2;1;0;0.33;24.304;MUNIWASTE;-3.259066353;35
DE4-S_A;GNR_WT_WIND_ONS;GWND;6489.08;2;2;0;0;1;2.744;WIND;0;0
DE4-W_A;GNR_CC_NGAS_CND_E-57;GCND;2929.5;2;3;1;0;0.57;4.41;NATGAS;8.324130812;56.1
DE4-W_A;GNR_ENG_BGAS_CND_E-42;GCND;1905.57;2;3;1;0;0.42;7.84;BIOGAS;12.71578864;0
DE4-W_A;GNR_GT_NGAS_CND_E-40;GCND;400;2;3;1;0;0.4;4.41;NATGAS;8.324130812;56.1
DE4-W_A;GNR_PV_SUN;GSOLE;10139.78;2;3;0;0;1;0;SUN;0;0
DE4-W_A;GNR_ROR_WTR;GHYRR;360.4;2;3;0;0;1;0;WATER;0;0
DE4-W_A;GNR_ST_BGAS_CND_E-38;GCND;42;2;3;1;0;0.38;0.8036;BIOGAS;12.71578864;0
DE4-W_A;GNR_ST_COAL_CND_E-45;GCND;2259.7;2;3;1;0;0.45;1.96;COAL;2.672923077;94.6
DE4-W_A;GNR_ST_COAL_EXT_E-43;GEXT;2089;2;3;1;0.75;0.43;0.8428;COAL;2.672923077;94.6
DE4-W_A;GNR_ST_FUELOIL_CND_E-39;GCND;24.8;2;3;1;0;0.39;0.8036;FUELOIL;12.10029189;74
DE4-W_A;GNR_ST_LIGN_CND_E-41;GCND;3064;2;3;1;0;0.41;1.96;LIGNITE;1.014863191;111.1
DE4-W_A;GNR_ST_MSW_CND_E-33;GCND;90.6;2;3;1;0;0.33;24.304;MUNIWASTE;-3.259066353;35
DE4-W_A;GNR_ST_NGAS_CND_E-40;GCND;14;2;3;1;0;0.4;0.8036;NATGAS;8.324130812;56.1
DE4-W_A;GNR_ST_NGAS_EXT_E-40;GEXT;459.9;2;3;1;0.476026;0.4;0.102;NATGAS;8.324130812;56.1
DE4-W_A;GNR_WT_WIND_ONS;GWND;11779.51;2;3;0;0;1;2.744;WIND;0;0
DE4-W_Offshore;GNR_WT_WIND_OFF;GWND;5511;2;3;0;0;1;3.822;WIND;0;0
DE4-E_A;GNR_CC_NGAS_CND_E-56;GCND;50;2;4;1;0;0.56;4.41;NATGAS;8.324130812;56.1
DE4-E_A;GNR_ENG_BGAS_CND_E-42;GCND;1305.16;2;4;1;0;0.42;7.84;BIOGAS;12.71578864;0
DE4-E_A;GNR_PV_SUN;GSOLE;10369.82;2;4;0;0;1;0;SUN;0;0
DE4-E_A;GNR_ROR_WTR;GHYRR;550.07;2;4;0;0;1;0;WATER;0;0
DE4-E_A;GNR_ST_BGAS_CND_E-38;GCND;18.1;2;4;1;0;0.38;0.8036;BIOGAS;12.71578864;0
DE4-E_A;GNR_ST_COAL_EXT_E-40;GEXT;514;2;4;1;0.75;0.4;0.784;COAL;2.672923077;94.6
DE4-E_A;GNR_ST_FUELOIL_CND_E-39;GCND;59;2;4;1;0;0.39;0.8036;FUELOIL;12.10029189;74
DE4-E_A;GNR_ST_LIGN_CND_E-43;GCND;640;2;4;1;0;0.43;1.96;LIGNITE;1.014863191;111.1
DE4-E_A;GNR_ST_LIGN_EXT_E-39;GEXT;5007;2;4;1;0.75;0.39;0.7644;LIGNITE;1.014863191;111.1
DE4-E_A;GNR_ST_MSW_CND_E-33;GCND;62.6;2;4;1;0;0.33;24.304;MUNIWASTE;-3.259066353;35
DE4-E_A;GNR_WT_WIND_ONS;GWND;12103.44;2;4;0;0;1;2.744;WIND;0;0
DE4-E_Offshore;GNR_WT_WIND_OFF;GWND;2086.3;2;4;0;0;1;3.822;WIND;0;0
DE4-N_A;GNR_ENG_BGAS_CND_E-42;GCND;461.06;2;5;1;0;0.42;7.84;BIOGAS;12.71578864;0
DE4-N_A;GNR_GEO_HEAT_EO;GCND;0.01;2;5;1;0;1;0;WASTEHEAT;0.087544156;0
DE4-N_A;GNR_PV_SUN;GSOLE;1601.39;2;5;0;0;1;0;SUN;0;0
DE4-N_A;GNR_ROR_WTR;GHYRR;4.84;2;5;0;0;1;0;WATER;0;0
DE4-N_A;GNR_ST_COAL_EXT_E-44;GEXT;1794;2;5;1;0.75;0.44;0.8624;COAL;2.672923077;94.6
DE4-N_A;GNR_WT_WIND_ONS;GWND;5522.47;2;5;0;0;1;2.744;WIND;0;0
DE4-N_Offshore;GNR_WT_WIND_OFF;GWND;1800;2;5;0;0;1;3.822;WIND;0;0
DK1_Medium;GNR_ENG_LIGHTOIL_CND_E-39;GCND;0.7;3;6;1;0;0.39;5.292;LIGHTOIL;16.60671043;74
DK1_NoDH;GNR_ENG_LIGHTOIL_CND_E-41;GCND;20.4;3;6;1;0;0.41;5.292;LIGHTOIL;16.60671043;74
DK1_NoDH;GNR_ENG_NGAS_CND_E-41;GCND;40.8;3;6;1;0;0.41;5.292;NATGAS;8.324130812;56.1
