Area;Generator;Type;Capacity;Zone;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ;Fraction of category for country
BE_A;GNR_CC_NGAS_CND_E-56;GCND;7591;1;1;1;0;0.56;4.41;NATGAS;7.64658528;56.1;
BE_A;GNR_PV_SUN;GSOLE;16365;1;1;0;0;1;0;SUN;0;0;
BE_A;GNR_ROR_WTR;GHYRR;2181;1;1;0;0;1;0;WATER;0;0;
BE_A;GNR_ST_COAL_CND_E-40;GCND;0;1;1;1;0;0.4;1.96;COAL;2.572688462;94.6;
BE_A;GNR_ST_FUELOIL_CND_E-30;GCND;583;1;1;1;0;0.3;0.8036;FUELOIL;8.763766511;74;
BE_A;GNR_ST_NUCL_CND_E-33;GCND;2077;1;1;1;0;0.33;4.236453202;NUCLEAR;0.757894626;0;
BE_A;GNR_ST_WOOD_CND_E-37;GCND;856;1;1;1;0;0.37;1.152;WOOD;7.293515991;0;
BE_A;GNR_WT_WIND_ONS;GWND;6007;1;1;0;0;1;2.744;WIND;0;0;
BE_Offshore;GNR_WT_WIND_OFF;GWND;6499;1;1;0;0;1;3.822;WIND;0;0;
BE_A;GNR_ST_MSW_CND_E-20;GCND;384;1;1;1;0;0.2;24.26425408;MUNIWASTE;-3.259066353;35;
DE4-S_A;GNR_CC_FUELOIL_CND_E-38;GCND;509.9034581;2;2;1;0;0.38;4.41;FUELOIL;8.763766511;74;0.097504337
DE4-S_A;GNR_CC_NGAS_CND_E-43;GCND;1248.903948;2;2;1;0;0.43;4.41;NATGAS;7.64658528;56.1;0.034407793
DE4-S_A;GNR_CC_NGAS_CND_E-57;GCND;2278.68063;2;2;1;0;0.57;4.41;NATGAS;7.64658528;56.1;0.062778544
DE4-S_A;GNR_ENG_BGAS_CND_E-42;GCND;3105.110979;2;2;1;0;0.42;7.84;BIOGAS;12.71578864;0;0.304889803
DE4-S_A;GNR_GEO_HEAT_EO;GCND;0;2;2;1;0;1;0;WASTEHEAT;0.087544156;0;
DE4-S_A;GNR_GT_FUELOIL_CND_E-32;GCND;617.5903829;2;2;1;0;0.32;4.41;FUELOIL;8.763766511;74;0.118096357
DE4-S_A;GNR_GT_FUELOIL_CND_E-35;GCND;35.11530088;2;2;1;0;0.35;4.41;FUELOIL;8.763766511;74;0.006714789
DE4-S_A;GNR_GT_NGAS_CND_E-31;GCND;490.1530667;2;2;1;0;0.31;4.41;NATGAS;7.64658528;56.1;0.013503909
DE4-S_A;GNR_PV_SUN;GSOLE;75330.29;2;2;0;0;1;0;SUN;0;0;0.472590473
DE4-S_A;GNR_ROR_WTR;GHYRR;18878.18512;2;2;0;0;1;0;WATER;0;0;0.896486716
DE4-S_A;GNR_ST_BGAS_CND_E-38;GCND;38.78273796;2;2;1;0;0.38;0.8036;BIOGAS;12.71578864;0;0.003808064
DE4-S_A;GNR_ST_COAL_CND_E-38;GCND;0;2;2;1;0;0.38;1.96;COAL;2.572688462;94.6;0
DE4-S_A;GNR_ST_COAL_CND_E-45;GCND;0;2;2;1;0;0.45;1.96;COAL;2.572688462;94.6;0.02987795
DE4-S_A;GNR_ST_COAL_EXT_E-37;GEXT;0;2;2;1;0.75;0.37;0.7252;COAL;2.572688462;94.6;0.015573449
DE4-S_A;GNR_ST_COAL_EXT_E-44;GEXT;0;2;2;1;0.75;0.44;0.8624;COAL;2.572688462;94.6;0.213517754
DE4-S_A;GNR_ST_FUELOIL_CND_E-36;GCND;1220.695707;2;2;1;0;0.36;0.8036;FUELOIL;8.763766511;74;0.233422864
DE4-S_A;GNR_ST_MSW_CND_E-33;GCND;17.7;2;2;1;0;0.33;24.304;MUNIWASTE;-3.259066353;35;0.009260751
DE4-S_A;GNR_ST_NUCL_CND_E-33;GCND;0;2;2;1;0;0.33;4.236453202;NUCLEAR;0.757894626;0;0.333333333
DE4-S_A;GNR_WT_WIND_ONS;GWND;17825.58525;2;2;0;0;1;2.744;WIND;0;0;0.1540795
DE4-W_A;GNR_CC_FUELOIL_CND_E-38;GCND;389.1946018;2;3;1;0;0.38;4.41;FUELOIL;8.763766511;74;0.074422248
DE4-W_A;GNR_CC_NGAS_CND_E-42;GCND;1550.128049;2;3;1;0;0.42;4.41;NATGAS;7.64658528;56.1;0.042706635
DE4-W_A;GNR_CC_NGAS_CND_E-57;GCND;4794.546816;2;3;1;0;0.57;4.41;NATGAS;7.64658528;56.1;0.132091643
DE4-W_A;GNR_ENG_BGAS_CND_E-42;GCND;3105.950212;2;3;1;0;0.42;7.84;BIOGAS;12.71578864;0;0.304972207
DE4-W_A;GNR_GT_FUELOIL_CND_E-31;GCND;333.8880012;2;3;1;0;0.31;4.41;FUELOIL;8.763766511;74;0.063846455
DE4-W_A;GNR_GT_NGAS_CND_E-32;GCND;882.2755128;2;3;1;0;0.32;4.41;NATGAS;7.64658528;56.1;0.024307036
DE4-W_A;GNR_GT_NGAS_CND_E-40;GCND;1094.11878;2;3;1;0;0.4;4.41;NATGAS;7.64658528;56.1;0.030143401
DE4-W_A;GNR_PV_SUN;GSOLE;38572.03629;2;3;0;0;1;0;SUN;0;0;0.24198469
DE4-W_A;GNR_ROR_WTR;GHYRR;858.2801024;2;3;0;0;1;0;WATER;0;0;0.040757981
DE4-W_A;GNR_ST_BGAS_CND_E-33;GCND;42.47027478;2;3;1;0;0.33;1.53;BIOGAS;12.71578864;0;0.004170142
